smiles,actual_pIC50,reference
CC(=O)N3CCN(c2ccc(CC(CC(C)C)S(=O)(=O)Cc1ccccc1)cc2)CC3,7.43,"BMCL 2014, 3891"
CC(=O)N4CCN(c3ccc(CC(C1CCC1)S(=O)(=O)Cc2ccccc2)c(F)c3)CC4,7.96,"JMC 2015, 5308"
CC(C)CN(Cc1ccc(s1)-c1ccc(N)nc1)S(=O)(=O)Cc1ccccc1,5.82,"BMCL 2014, 2182"
CC(C)CN(Cc2ccc(c1ccc(=O)[nH]c1)s2)S(=O)(=O)Cc3ccccc3,5.44,"BMCL 2014, 2182"
CC(C)CN(Cc2ccc(c1ccc(C(N)=O)cc1)cc2)S(=O)(=O)Cc3ccccc3,7.48,"BMCL 2014, 3891"
CC(C)CN(Cc2ccc(c1ccc(C#N)nc1)s2)S(=O)(=O)Cc3ccccc3,5,"BMCL 2014, 2182"
CC(C)CN(Cc2ccc(c1ccc(NS(C)(=O)=O)cc1)cc2)S(=O)(=O)Cc3ccccc3,7.34,"BMCL 2014, 2182"
CC(C)CN(Cc2ccc(c1ccc(S(C)(=O)=O)cc1)cc2)S(=O)(=O)Cc3ccccc3,7.5,"BMCL 2014, 2182"
CC(C)CN(Cc2ccc(c1ccc(S(C)(=O)=O)cc1)cn2)S(=O)(=O)Cc3ccccc3,5.85,"BMCL 2014, 2182"
CC(C)CN(Cc2ccc(c1ccc(S(C)(=O)=O)cc1)nc2)S(=O)(=O)Cc3ccccc3,6.19,"BMCL 2014, 2182"
CC(C)CN(Cc2ccc(c1ccc(S(C)(=O)=O)cc1)s2)S(=O)(=O)Cc3ccccc3,6.87,"BMCL 2014, 2182"
CC(C)CN(Cc2ccc(c1ccc(S(N)(=O)=O)cc1)cc2)S(=O)(=O)Cc3ccccc3,6.92,"BMCL 2014, 3891"
CC(C)CN(Cc2ccc(c1cccc(S(C)(=O)=O)c1)s2)S(=O)(=O)Cc3ccccc3,6.43,"BMCL 2014, 2182"
CC(C)CN(Cc2ccc(c1cncnc1)s2)S(=O)(=O)Cc3ccccc3,5.16,"BMCL 2014, 2182"
CC(C)CN(Cc2ccc(N1CCC(NS(C)(=O)=O)CC1)cc2)S(=O)(=O)Cc3ccccc3,7.7,"BMCL 2014, 3891"
CC(C)CN(Cc2ccc(N1CCC(O)CC1)cc2)S(=O)(=O)Cc3ccccc3,7,"BMCL 2014, 3891"
CC(C)CN(Cc2ccc(N1CCN(C)CC1)cc2)S(=O)(=O)Cc3ccccc3,5.64,"BMCL 2014, 3891"
CC(C)CN(Cc2ccc(N1CCN(S(C)(=O)=O)CC1)cc2)S(=O)(=O)Cc3ccccc3,6.68,"BMCL 2014, 3891"
CC(C)CN(Cc2ccc(N1CCOCC1)cc2)S(=O)(=O)Cc3ccccc3,6.68,"BMCL 2014, 3891"
CC(C)CN(Cc2cccc(c1ccc(S(C)(=O)=O)cc1)c2)S(=O)(=O)Cc3ccccc3,5,"BMCL 2014, 2182"
CC(C)CN(Cc2cnc(c1ccc(S(C)(=O)=O)cc1)cn2)S(=O)(=O)Cc3ccccc3,5.26,"BMCL 2014, 2182"
CC(C)CN(Cc2cnc(c1ccc(S(C)(=O)=O)cc1)s2)S(=O)(=O)Cc3ccccc3,5,"BMCL 2014, 2182"
